,genome_id,Actual,Predicted,Category
275,3300025924_24,Uncultured,Uncultured,TN
276,3300029118_18,Uncultured,Uncultured,TN
277,3300013815_2,Uncultured,Uncultured,TN
278,3300017526_65,Uncultured,Uncultured,TN
279,3300005529_73,Uncultured,Uncultured,TN
280,3300013004_29,Uncultured,Uncultured,TN
281,3300029621_23,Cultured,Uncultured,FN
282,3300009381_37,Uncultured,Uncultured,TN
283,3300020197_68,Uncultured,Uncultured,TN
284,3300025699_17,Uncultured,Uncultured,TN
285,3300020183_36,Uncultured,Uncultured,TN
286,3300007139_3,Uncultured,Uncultured,TN
287,3300020153_31,Uncultured,Uncultured,TN
288,3300029758_16,Uncultured,Uncultured,TN
289,3300029848_29,Uncultured,Uncultured,TN
290,3300000930_11,Uncultured,Uncultured,TN
291,3300017431_42,Uncultured,Uncultured,TN
292,3300025847_42,Uncultured,Uncultured,TN
293,3300025881_66,Uncultured,Uncultured,TN
294,3300029255_8,Uncultured,Uncultured,TN
295,3300029821_39,Uncultured,Uncultured,TN
296,3300029295_10,Uncultured,Uncultured,TN
297,3300029326_7,Uncultured,Uncultured,TN
298,3300013131_103,Uncultured,Uncultured,TN
299,3300013137_95,Uncultured,Uncultured,TN
300,3300029511_19,Uncultured,Uncultured,TN
301,3300025229_8,Uncultured,Uncultured,TN
302,3300028115_33,Uncultured,Uncultured,TN
303,3300014645_1,Cultured,Uncultured,FN
304,3300025513_10,Uncultured,Uncultured,TN
305,3300021310_16,Uncultured,Uncultured,TN
306,3300027977_56,Uncultured,Uncultured,TN
307,3300029561_12,Cultured,Uncultured,FN
308,3300020734_8,Uncultured,Uncultured,TN
309,3300027352_6,Cultured,Uncultured,FN
310,3300027806_7,Uncultured,Uncultured,TN
311,3300010049_167,Uncultured,Uncultured,TN
312,3300029094_11,Uncultured,Uncultured,TN
313,3300029118_19,Cultured,Uncultured,FN
314,3300027508_5,Cultured,Uncultured,FN
315,3300011745_2,Uncultured,Uncultured,TN
316,3300018719_8,Uncultured,Uncultured,TN
317,3300014562_8,Cultured,Uncultured,FN
318,3300027984_23,Uncultured,Uncultured,TN
319,3300014491_12,Uncultured,Uncultured,TN
320,3300013499_6,Cultured,Uncultured,FN
321,3300014886_15,Uncultured,Uncultured,TN
322,3300025594_19,Uncultured,Uncultured,TN
323,3300007843_2,Cultured,Uncultured,FN
324,3300003541_18,Uncultured,Uncultured,TN
325,3300010279_9,Uncultured,Uncultured,TN
326,3300000232_7,Uncultured,Uncultured,TN
327,3300000212_13,Uncultured,Uncultured,TN
328,3300011177_3,Uncultured,Uncultured,TN
329,3300014802_8,Uncultured,Uncultured,TN
330,3300025515_11,Uncultured,Uncultured,TN
331,3300012943_31,Uncultured,Uncultured,TN
332,3300026962_8,Uncultured,Uncultured,TN
333,3300027692_7,Uncultured,Uncultured,TN
334,3300009826_86,Uncultured,Uncultured,TN
335,3300029875_17,Uncultured,Uncultured,TN
336,3300026874_1,Uncultured,Uncultured,TN
337,3300029873_23,Uncultured,Uncultured,TN
338,3300025881_53,Uncultured,Uncultured,TN
339,3300012097_4,Cultured,Uncultured,FN
340,3300020237_2,Uncultured,Uncultured,TN
341,3300029042_17,Cultured,Uncultured,FN
342,3300003146_10,Cultured,Uncultured,FN
343,3300025480_6,Uncultured,Uncultured,TN
344,3300013132_64,Uncultured,Uncultured,TN
345,3300012979_12,Uncultured,Uncultured,TN
346,3300008123_7,Uncultured,Uncultured,TN
347,2236876025_17,Uncultured,Uncultured,TN
348,3300027365_5,Uncultured,Uncultured,TN
349,3300021091_26,Uncultured,Uncultured,TN
350,3300020083_68,Uncultured,Uncultured,TN
351,3300011215_7,Uncultured,Uncultured,TN
352,3300000969_9,Uncultured,Uncultured,TN
353,3300029589_20,Cultured,Uncultured,FN
354,3300027607_10,Uncultured,Uncultured,TN
355,3300027905_64,Uncultured,Uncultured,TN
356,3300025530_20,Uncultured,Uncultured,TN
357,3300025536_25,Uncultured,Uncultured,TN
358,3300029360_27,Uncultured,Uncultured,TN
359,3300025856_17,Uncultured,Uncultured,TN
360,3300029856_22,Uncultured,Uncultured,TN
361,3300027794_23,Uncultured,Uncultured,TN
362,3300008747_4,Cultured,Uncultured,FN
363,3300029840_29,Uncultured,Uncultured,TN
364,3300007123_3,Uncultured,Uncultured,TN
365,3300014755_8,Cultured,Uncultured,FN
366,3300017991_60,Uncultured,Uncultured,TN
367,3300013132_83,Uncultured,Uncultured,TN
368,3300010261_10,Uncultured,Uncultured,TN
369,3300008096_17,Uncultured,Uncultured,TN
370,3300011118_116,Uncultured,Uncultured,TN
371,3300008150_20,Cultured,Uncultured,FN
372,3300009770_54,Uncultured,Uncultured,TN
373,3300010262_15,Uncultured,Uncultured,TN
374,3300027878_138,Uncultured,Uncultured,TN
375,3300025855_67,Uncultured,Uncultured,TN
376,3300027300_8,Uncultured,Uncultured,TN
377,3300025617_20,Uncultured,Uncultured,TN
378,3300027356_8,Uncultured,Uncultured,TN
379,3300018878_71,Uncultured,Uncultured,TN
380,3300014948_9,Uncultured,Uncultured,TN
381,3300014681_3,Cultured,Uncultured,FN
382,3300028640_16,Uncultured,Uncultured,TN
383,3300028553_32,Uncultured,Uncultured,TN
384,3300021375_15,Uncultured,Uncultured,TN
385,3300027566_83,Uncultured,Uncultured,TN
386,3300027819_24,Uncultured,Uncultured,TN
387,3300029930_4,Uncultured,Uncultured,TN
388,3300028666_7,Uncultured,Uncultured,TN
389,3300017950_15,Uncultured,Uncultured,TN
390,3300003317_4,Uncultured,Uncultured,TN
391,3300027968_17,Uncultured,Uncultured,TN
392,3300020443_13,Cultured,Uncultured,FN
393,3300025502_13,Uncultured,Uncultured,TN
394,3300027486_2,Uncultured,Uncultured,TN
395,3300001919_16,Uncultured,Uncultured,TN
396,3300027204_1,Uncultured,Uncultured,TN
397,3300027977_40,Uncultured,Uncultured,TN
398,3300025286_13,Uncultured,Uncultured,TN
399,3300026266_17,Uncultured,Uncultured,TN
400,3300014764_5,Cultured,Uncultured,FN
401,3300027316_7,Uncultured,Uncultured,TN
402,3300008626_12,Uncultured,Uncultured,TN
403,3300026980_3,Cultured,Uncultured,FN
404,3300026549_60,Uncultured,Uncultured,TN
405,3300029842_15,Cultured,Uncultured,FN
406,3300029356_14,Uncultured,Uncultured,TN
407,3300027813_18,Uncultured,Uncultured,TN
408,3300012942_71,Uncultured,Uncultured,TN
409,3300029820_24,Uncultured,Uncultured,TN
410,3300020423_9,Uncultured,Uncultured,TN
411,3300020449_19,Uncultured,Uncultured,TN
412,3300011118_52,Uncultured,Uncultured,TN
413,3300018080_79,Uncultured,Uncultured,TN
414,3300027878_85,Uncultured,Uncultured,TN
415,3300025405_3,Uncultured,Uncultured,TN
416,3300007991_23,Cultured,Uncultured,FN
417,3300029089_11,Cultured,Uncultured,FN
418,3300029418_17,Uncultured,Uncultured,TN
419,3300014769_4,Cultured,Uncultured,FN
420,3300022900_45,Uncultured,Uncultured,TN
421,2035918003_3,Uncultured,Uncultured,TN
422,3300022137_13,Uncultured,Uncultured,TN
423,3300009767_97,Uncultured,Uncultured,TN
424,3300017444_118,Uncultured,Uncultured,TN
425,3300029752_9,Cultured,Uncultured,FN
426,3300025480_9,Uncultured,Uncultured,TN
427,3300007926_5,Cultured,Uncultured,FN
428,3300026293_47,Uncultured,Uncultured,TN
429,3300013126_93,Uncultured,Uncultured,TN
430,3300021254_58,Uncultured,Uncultured,TN
431,3300027769_20,Uncultured,Uncultured,TN
432,3300007129_6,Uncultured,Uncultured,TN
433,3300017458_12,Uncultured,Uncultured,TN
434,3300027503_15,Uncultured,Uncultured,TN
435,3300025439_14,Uncultured,Uncultured,TN
436,3300025264_3,Cultured,Uncultured,FN
437,3300002963_10,Uncultured,Uncultured,TN
438,3300029201_22,Uncultured,Uncultured,TN
439,3300029340_29,Uncultured,Uncultured,TN
440,3300007348_7,Cultured,Uncultured,FN
441,3300029453_9,Cultured,Uncultured,FN
442,3300010167_103,Uncultured,Uncultured,TN
443,3300006192_10,Uncultured,Uncultured,TN
444,3300013886_9,Uncultured,Uncultured,TN
445,3300011653_4,Uncultured,Uncultured,TN
446,3300026253_53,Uncultured,Uncultured,TN
447,3300027309_4,Uncultured,Uncultured,TN
