,genome_id,Actual,Predicted,Category
408,3300013902_10,Uncultured,Uncultured,TN
409,3300008408_5,Cultured,Cultured,TP
410,3300027247_1,Uncultured,Uncultured,TN
411,3300027796_13,Uncultured,Uncultured,TN
412,3300007194_12,Uncultured,Uncultured,TN
413,3300013693_5,Cultured,Cultured,TP
414,3300027819_23,Uncultured,Uncultured,TN
415,3300005256_2,Uncultured,Uncultured,TN
416,3300025529_7,Uncultured,Uncultured,TN
417,3300027958_32,Uncultured,Uncultured,TN
418,3300015207_27,Uncultured,Uncultured,TN
419,3300010275_14,Uncultured,Uncultured,TN
420,3300027840_16,Uncultured,Uncultured,TN
421,3300025513_16,Uncultured,Uncultured,TN
422,3300027554_21,Uncultured,Uncultured,TN
423,3300009393_11,Uncultured,Uncultured,TN
424,3300005282_5,Uncultured,Uncultured,TN
425,3300029827_15,Uncultured,Uncultured,TN
426,3300025890_84,Uncultured,Uncultured,TN
427,3300029130_25,Uncultured,Uncultured,TN
428,3300027123_2,Uncultured,Uncultured,TN
429,3300025586_31,Uncultured,Uncultured,TN
430,3300006487_5,Cultured,Cultured,TP
431,3300024417_9,Uncultured,Uncultured,TN
432,3300028114_10,Uncultured,Uncultured,TN
433,3300008615_5,Uncultured,Uncultured,TN
434,3300011991_7,Uncultured,Uncultured,TN
435,3300029581_12,Uncultured,Uncultured,TN
436,3300025719_22,Uncultured,Uncultured,TN
437,3300010287_53,Uncultured,Uncultured,TN
438,3300027291_8,Uncultured,Uncultured,TN
439,3300007357_5,Cultured,Cultured,TP
440,3300029453_5,Cultured,Cultured,TP
441,3300017453_45,Uncultured,Uncultured,TN
442,3300005101_12,Uncultured,Uncultured,TN
443,3300008074_4,Cultured,Uncultured,FN
444,3300027800_69,Uncultured,Uncultured,TN
445,3300020715_5,Uncultured,Uncultured,TN
446,3300017788_96,Uncultured,Uncultured,TN
447,3300029528_3,Uncultured,Uncultured,TN
448,3300029884_5,Uncultured,Uncultured,TN
449,3300026194_16,Uncultured,Uncultured,TN
450,3300029724_20,Cultured,Cultured,TP
451,3300008506_48,Uncultured,Uncultured,TN
452,3300021561_43,Uncultured,Uncultured,TN
453,3300025212_3,Uncultured,Uncultured,TN
454,3300029478_10,Uncultured,Uncultured,TN
455,3300010286_27,Uncultured,Uncultured,TN
456,3300020468_15,Uncultured,Uncultured,TN
457,3300022909_29,Uncultured,Uncultured,TN
458,3300029437_17,Cultured,Cultured,TP
459,3300009767_5,Uncultured,Uncultured,TN
460,3300029543_13,Cultured,Cultured,TP
461,3300027685_59,Uncultured,Uncultured,TN
462,3300029365_27,Uncultured,Uncultured,TN
463,3300027819_174,Uncultured,Uncultured,TN
464,3300027688_30,Uncultured,Uncultured,TN
465,3300029469_17,Uncultured,Uncultured,TN
466,3300029694_9,Uncultured,Uncultured,TN
467,3300029387_16,Uncultured,Uncultured,TN
468,3300024038_4,Uncultured,Uncultured,TN
469,3300029530_5,Cultured,Cultured,TP
470,3300025724_40,Uncultured,Uncultured,TN
471,3300029100_8,Cultured,Cultured,TP
472,3300025605_15,Uncultured,Uncultured,TN
473,3300005549_36,Uncultured,Uncultured,TN
474,3300025737_31,Uncultured,Uncultured,TN
475,3300014208_130,Uncultured,Uncultured,TN
476,3300008506_22,Uncultured,Uncultured,TN
477,3300025513_44,Uncultured,Uncultured,TN
478,3300027665_5,Uncultured,Uncultured,TN
479,3300027747_8,Uncultured,Uncultured,TN
480,3300029764_8,Uncultured,Uncultured,TN
481,3300008639_21,Uncultured,Uncultured,TN
482,3300007722_35,Uncultured,Uncultured,TN
483,3300028287_26,Uncultured,Uncultured,TN
484,3300021376_29,Uncultured,Uncultured,TN
485,3300017957_33,Cultured,Cultured,TP
486,3300029582_25,Uncultured,Uncultured,TN
487,3300007126_14,Cultured,Cultured,TP
488,3300025270_11,Cultured,Uncultured,FN
489,3300020326_1,Cultured,Uncultured,FN
490,3300027279_9,Uncultured,Uncultured,TN
491,3300008729_7,Cultured,Cultured,TP
492,3300021843_8,Uncultured,Uncultured,TN
493,3300028991_2,Cultured,Cultured,TP
494,3300026279_35,Uncultured,Uncultured,TN
495,3300007991_8,Uncultured,Uncultured,TN
496,3300014656_24,Uncultured,Uncultured,TN
497,3300027777_52,Uncultured,Uncultured,TN
498,3300025422_16,Uncultured,Uncultured,TN
499,3300027897_32,Uncultured,Uncultured,TN
500,3300015204_9,Uncultured,Uncultured,TN
501,3300025161_41,Uncultured,Uncultured,TN
502,3300029830_23,Cultured,Uncultured,FN
503,3300025806_9,Uncultured,Uncultured,TN
504,3300013345_1,Cultured,Cultured,TP
505,3300025762_16,Uncultured,Uncultured,TN
506,3300022929_34,Uncultured,Uncultured,TN
507,3300013125_66,Uncultured,Uncultured,TN
508,3300011641_4,Cultured,Cultured,TP
509,3300029529_14,Uncultured,Uncultured,TN
510,3300007648_4,Cultured,Cultured,TP
511,3300011911_4,Uncultured,Cultured,FP
512,3300029335_27,Uncultured,Uncultured,TN
513,3300017986_24,Uncultured,Uncultured,TN
514,3300020190_51,Uncultured,Uncultured,TN
515,3300008680_31,Cultured,Cultured,TP
516,3300029334_19,Uncultured,Uncultured,TN
517,3300029360_25,Uncultured,Uncultured,TN
518,3300025620_16,Uncultured,Uncultured,TN
519,3300006295_1,Cultured,Uncultured,FN
520,2077657024_5,Uncultured,Uncultured,TN
521,3300000365_21,Uncultured,Uncultured,TN
522,3300007519_42,Uncultured,Uncultured,TN
523,3300029671_10,Uncultured,Uncultured,TN
524,3300000167_23,Uncultured,Uncultured,TN
525,3300008676_13,Cultured,Cultured,TP
526,3300020432_11,Uncultured,Uncultured,TN
527,3300005977_13,Uncultured,Uncultured,TN
528,3300018004_25,Uncultured,Uncultured,TN
529,3300012848_6,Uncultured,Uncultured,TN
530,3300020358_5,Uncultured,Uncultured,TN
531,3300025770_45,Uncultured,Uncultured,TN
532,3300006479_11,Uncultured,Uncultured,TN
533,3300029527_15,Uncultured,Uncultured,TN
534,3300029248_22,Uncultured,Uncultured,TN
535,3300013296_25,Uncultured,Uncultured,TN
536,3300027970_36,Uncultured,Uncultured,TN
537,3300009772_31,Uncultured,Uncultured,TN
538,3300020413_12,Uncultured,Uncultured,TN
539,3300009503_304,Uncultured,Uncultured,TN
540,3300017473_2,Uncultured,Uncultured,TN
541,3300025072_2,Uncultured,Uncultured,TN
542,3300027791_13,Uncultured,Uncultured,TN
543,3300010286_18,Uncultured,Uncultured,TN
544,3300008664_28,Uncultured,Uncultured,TN
545,3300011701_1,Uncultured,Cultured,FP
546,3300025657_42,Uncultured,Uncultured,TN
547,3300029239_10,Uncultured,Uncultured,TN
548,3300015191_5,Uncultured,Uncultured,TN
549,3300010160_50,Uncultured,Uncultured,TN
550,3300020153_42,Uncultured,Uncultured,TN
551,3300027084_3,Uncultured,Uncultured,TN
552,3300013916_1,Uncultured,Uncultured,TN
553,3300026852_1,Uncultured,Uncultured,TN
554,3300011169_5,Uncultured,Uncultured,TN
555,3300013752_11,Uncultured,Uncultured,TN
556,3300029739_22,Cultured,Cultured,TP
557,3300021326_15,Uncultured,Uncultured,TN
558,3300013341_1,Uncultured,Uncultured,TN
559,3300029533_13,Cultured,Cultured,TP
560,3300027638_6,Cultured,Cultured,TP
561,3300029737_30,Uncultured,Cultured,FP
562,3300013382_10,Uncultured,Uncultured,TN
563,3300009381_9,Uncultured,Uncultured,TN
564,3300029326_11,Uncultured,Uncultured,TN
565,3300026971_14,Uncultured,Uncultured,TN
566,3300021389_36,Uncultured,Uncultured,TN
567,3300008103_22,Uncultured,Uncultured,TN
568,3300025669_32,Uncultured,Uncultured,TN
569,3300008124_2,Cultured,Cultured,TP
570,3300000233_5,Uncultured,Uncultured,TN
571,3300017451_1,Uncultured,Uncultured,TN
572,3300006083_6,Uncultured,Uncultured,TN
573,3300012859_3,Uncultured,Uncultured,TN
574,3300029443_31,Uncultured,Cultured,FP
575,3300011954_4,Uncultured,Uncultured,TN
576,3300023232_4,Uncultured,Uncultured,TN
577,3300029387_13,Uncultured,Uncultured,TN
578,3300008269_31,Cultured,Uncultured,FN
579,3300029020_3,Cultured,Cultured,TP
580,3300013201_1,Cultured,Cultured,TP
581,3300006477_17,Cultured,Cultured,TP
582,3300029488_15,Cultured,Cultured,TP
583,3300014028_3,Uncultured,Uncultured,TN
584,3300007524_25,Uncultured,Uncultured,TN
585,3300025772_17,Uncultured,Uncultured,TN
586,3300027968_27,Uncultured,Uncultured,TN
587,3300013126_99,Uncultured,Uncultured,TN
