,Shuffled,Phylum Name,AUC,Accuracy,Precision,Recall
55,No,Chloroflexota,0.989,0.957,0.438,0.875
56,No,Chloroflexota,0.985,0.957,0.438,0.875
57,No,Chloroflexota,0.985,0.952,0.421,1.0
58,No,Chloroflexota,0.97,0.939,0.35,0.875
59,No,Chloroflexota,0.915,0.952,0.4,0.75
60,No,Dictyoglomota,1.0,1.0,1.0,1.0
61,No,Dictyoglomota,1.0,1.0,1.0,1.0
62,No,Dictyoglomota,1.0,1.0,1.0,1.0
63,No,Dictyoglomota,1.0,0.667,0.5,1.0
64,No,Dictyoglomota,1.0,1.0,1.0,1.0
65,No,Deinococcota,0.97,0.9,0.963,0.897
66,No,Deinococcota,0.914,0.875,0.875,0.966
67,No,Deinococcota,0.937,0.9,1.0,0.862
68,No,Deinococcota,0.933,0.875,0.929,0.897
69,No,Deinococcota,0.991,0.95,1.0,0.931
70,No,Bacteroidota,0.896,0.816,0.638,0.93
71,No,Bacteroidota,0.908,0.884,0.78,0.867
72,No,Bacteroidota,0.904,0.856,0.724,0.856
73,No,Bacteroidota,0.849,0.729,0.532,0.966
74,No,Bacteroidota,0.886,0.806,0.619,0.953
75,No,Planctomycetota,0.957,0.961,0.0,0.0
76,No,Planctomycetota,0.975,0.923,0.125,1.0
77,No,Planctomycetota,0.729,0.978,0.0,0.0
78,No,Planctomycetota,0.486,0.983,0.0,0.0
79,No,Planctomycetota,0.729,0.961,0.143,0.5
80,No,Firmicutes,0.839,0.74,0.581,0.818
81,No,Firmicutes,0.861,0.783,0.626,0.886
82,No,Firmicutes,0.83,0.75,0.596,0.803
83,No,Firmicutes,0.828,0.755,0.615,0.727
84,No,Firmicutes,0.839,0.74,0.58,0.826
85,No,Proteobacteria,0.782,0.804,0.518,0.66
86,No,Proteobacteria,0.696,0.816,0.621,0.269
87,No,Proteobacteria,0.8,0.76,0.45,0.753
88,No,Proteobacteria,0.781,0.664,0.366,0.865
89,No,Proteobacteria,0.69,0.803,0.535,0.311
90,No,Firmicutes_C,0.955,0.888,0.833,0.958
91,No,Firmicutes_C,0.902,0.809,0.725,0.967
92,No,Firmicutes_C,0.956,0.888,0.877,0.892
93,No,Firmicutes_C,0.959,0.908,0.87,0.95
94,No,Firmicutes_C,0.945,0.865,0.807,0.942
95,No,Firmicutes_A,0.748,0.55,0.326,0.959
96,No,Firmicutes_A,0.696,0.45,0.285,0.972
97,No,Firmicutes_A,0.842,0.78,0.503,0.827
98,No,Firmicutes_A,0.836,0.815,0.562,0.763
99,No,Firmicutes_A,0.842,0.79,0.518,0.796
100,No,Spirochaetota,0.971,0.88,0.235,1.0
101,No,Spirochaetota,0.981,0.898,0.267,1.0
102,No,Spirochaetota,0.799,0.898,0.111,0.25
103,No,Spirochaetota,0.986,0.898,0.267,1.0
104,No,Spirochaetota,0.819,0.926,0.25,0.5
105,No,Fusobacteriota,0.839,0.721,0.611,0.688
106,No,Fusobacteriota,0.792,0.698,0.571,0.75
107,No,Fusobacteriota,0.785,0.628,0.5,0.812
108,No,Fusobacteriota,0.926,0.86,0.75,0.938
